Район;Адрес;Комнат;Площадь;Этаж;Этажей в доме;Цена;Срок сдачи;Фото;url;Долгота;Широта
Кировский;ул. Маршала Рыбалко, д.40;2;44;4;5;12000;месяц;;/perm/kvartiry/2-k_kvartira_44_m_45_et._584145369;55.954739;58.006006
Свердловский;Героев Хасана, 149;1;34;5;12;11000;месяц;;/perm/kvartiry/1-k_kvartira_34_m_512_et._584142068;56.272931;57.944625
Ленинский;Ленина 71;1;32;2;5;1400;сутки;http://71.img.avito.st/140x105/1711949771.jpg;/perm/kvartiry/1-k_kvartira_32_m_25_et._276157180;56.204641;58.005639
Мотовилихинский;Уинская 1а;1;42;5;10;13000;месяц;http://23.img.avito.st/140x105/1711914823.jpg;/perm/kvartiry/1-k_kvartira_42_m_510_et._584133536;56.300267;58.008467
Свердловский;улица Хасана 15;1;42;2;5;12000;месяц;http://96.img.avito.st/140x105/1711924696.jpg;/perm/kvartiry/1-k_kvartira_42_m_25_et._584128452;56.25792;57.988821
Индустриальный;Леонова, д. 46;1;32;1;2;12000;месяц;http://22.img.avito.st/140x105/1711196822.jpg;/perm/kvartiry/1-k_kvartira_32_m_12_et._583907400;56.172517;57.967809
Орджоникидзевский;ул.Цимлянская, д.19б;1;34;6;16;8000;месяц;http://78.img.avito.st/140x105/1711887978.jpg;/perm/kvartiry/1-k_kvartira_34_m_616_et._584117226;56.39856;58.133522
Ленинский;Комсомольский проспект, 32;2;45;3;5;19000;месяц;http://32.img.avito.st/140x105/1703909132.jpg;/perm/kvartiry/2-k_kvartira_45_m_35_et._581857442;56.240789;58.009792
Свердловский;Весенняя, 15;1;30;1;2;10000;месяц;;/perm/kvartiry/1-k_kvartira_30_m_12_et._584113668;56.232767;57.960514
Индустриальный;ул. Космонавтов шоссе, д. 141;3;90;16;16;20000;месяц;http://80.img.avito.st/140x105/1711875680.jpg;/perm/kvartiry/3-k_kvartira_90_m_1616_et._584112643;56.183935;57.984207
Дзержинский;Малкова, 16;1;35;5;5;15000;месяц;http://68.img.avito.st/140x105/1711875768.jpg;/perm/kvartiry/1-k_kvartira_35_m_55_et._584111932;56.192954;57.994379
Свердловский;Рабоче-Крестьянская, 25;1;40;9;17;12000;месяц;http://37.img.avito.st/140x105/1711853037.jpg;/perm/kvartiry/1-k_kvartira_40_m_917_et._584108914;56.270317;58.004695
Мотовилихинский;Уинская, 3а;1;45;9;17;23000;месяц;http://69.img.avito.st/140x105/1367785369.jpg;/perm/kvartiry/1-k_kvartira_45_m_917_et._496502724;56.30289;58.009101
Мотовилихинский;ул.Старцева 37/3;1;30;5;5;9500;месяц;http://44.img.avito.st/140x105/1711859344.jpg;/perm/kvartiry/1-k_kvartira_30_m_55_et._584106661;56.3013;57.994898
Мотовилихинский;ул. Тургенева, 39;1;32;2;9;13000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_29_et._584099907;56.294401;58.01137
Мотовилихинский;ТРК Семья, Цирк, пл. Дружбы,Пермская Ярмарка;2;45;5;16;1500;сутки;http://99.img.avito.st/140x105/1600164799.jpg;/perm/kvartiry/2-k_kvartira_45_m_516_et._555780623;56.281285;58.014436
Свердловский;Ул.Газеты Звезда, 45;2;46;4;5;18000;месяц;http://91.img.avito.st/140x105/638220691.jpg;/perm/kvartiry/2-k_kvartira_46_m_45_et._160560915;56.251677;58.003183
Ленинский;Рабоче крестьянская 17;1;20;5;5;9990;месяц;http://66.img.avito.st/140x105/1324888766.jpg;/perm/kvartiry/1-k_kvartira_20_m_55_et._487880558;56.266391;58.007975
Ленинский;Ленина 80;1;35;4;5;1500;сутки;http://02.img.avito.st/140x105/1576438002.jpg;/perm/kvartiry/1-k_kvartira_35_m_45_et._395199202;56.2149;58.006831
Мотовилихинский;ул. Тургенева, 39;1;32;2;9;13000;месяц;;/perm/kvartiry/1-k_kvartira_32_m_29_et._584099907;56.294401;58.01137
Индустриальный;улица Леонова 42;1;34;3;5;11500;месяц;http://82.img.avito.st/140x105/1711836282.jpg;/perm/kvartiry/1-k_kvartira_34_m_35_et._584098671;56.171987;57.968334
