Детский сад;Адрес;Телефон;Заведующий;Сайт;Долгота;Широта
МАДОУ "Детский сад № 103";г.Пермь, ул. Голева, 4;236-96-44;Заведующий: Бякова Лариса Ивановна;;56.210669;57.999892
МАДОУ "Детский сад № 11";г.Пермь, ул. Тбилисская, 21а;241-57-21;Заведующий: Несветаева Марина Яковлевна;http://dsad11.ru;56.213822;57.965508
МАДОУ "Детский сад № 111";г. Пермь, Автозаводская,47;283-12-15; 283-19-01;Заведующий: Соловьева Ирина Викторовна;http://www.111.садик59.рф;55.950409;58.008300
МАДОУ "Детский сад № 12";г.Пермь, ул. Снайперов, 21;280-73-95;Заведующий: Курочкина Татьяна Николаевна;;56.211630;57.982151
МАДОУ "Детский сад № 120";г.Пермь, ул. Строителей, 14;222-62-48;Заведующий: Седельникова Наталия Владимировна;;56.142729;57.998814
МДОУ "Детский сад № 13";г.Пермь, ул. Техническая, 4;265-59-29;Заведующий: Казакова Татьяна Николаевна;;56.287430;58.015099
МАДОУ "Детский сад № 135";г.Пермь, ул. Мильчакова, 26;224-46-98;Заведующий: Алейникова Елена Васильевна;;56.231132;57.990166
МДОУ "Детский сад № 140";г.Пермь, ул. Архитектора Свиязева, 36;223-86-93;Заведующий: Балайшис Наталья Олеговна;;56.175517;57.961865
МАДОУ "Детский сад № 155";г.Пермь, ул. Маршала Рыбалко, 95а;284-07-21;Заведующий: Заец Ляля Нигматулловна;http://www.155.dou-rf.ru;55.970279;58.013659
МДОУ "Детский сад № 165";г.Пермь, пгт Новые Ляды, ул. Мира, 19;295-74-20;Заведующий: Бикеева Светлана Александровна;http://ds165.ru/;56.576247;58.049526
МАДОУ "Детский сад № 167";г.Пермь, ул. Автозаводская, 42;282-92-77;Заведующий: Щеголева Татьяна Владимировна;http://www.detsad167.com/;55.948540;58.005916
МАДОУ "Детский сад № 168";г.Пермь, ул. Кировоградская, 15а;283-70-39;Заведующий: Новикова Татьяна Юрьевна;;55.943896;57.995662
МАДОУ "Детский сад № 175";г.Пермь, ул. Репина, 6;284-96-67;Заведующий: Алтухова Ольга Леонидовна;http://sad175.ucoz.ru/;56.315780;58.114159
МАДОУ "Детский сад № 187";г.Пермь, ул. Александра Щербакова, 23,20;263-49-01;Заведующий: Шилова Светлана Николаевна;http://www.sad187.perm.ru;56.379534;58.126185
МАДОУ "Детский сад № 195 - центр развития ребенка";г.Пермь, ул. Решетникова, 30;233-16-50;Заведующий: Баяндина Светлана Анатольевна;http://ds195.perm.ru/;56.208989;58.008672
МАДОУ "Детский сад № 203";г.Пермь, ул. Костычева, 34;213-75-53;Заведующий: Фрейман Людмила Витальевна;http://www.ds203.perm.ru;56.131051;58.037517
МАДОУ "Детский сад № 209";г.Пермь, ул. Нефтяников, 44;226-28-71;Заведующий: Марукова Татьяна Анатольевна;http://www.mdou-209.ru;56.169319;57.971537
МАДОУ "Детский сад № 218";г.Пермь, ул.Одоевского, 22а;226-18-09;Заведующий: Шадрина Ольга Ивановна;http://ds218.ucoz.ru;56.173415;57.977245
МАДОУ "Детский сад № 22";г.Пермь, ул. Уссурийская, 23;(342) 275-37-75;Заведующий: Щелконогова Татьяна Васильевна;http://nsportal.ru/site/detsad22;56.409448;58.087274
МДОУ "Детский сад № 227";г.Пермь, ул. Степана Разина, 77;262-00-96,262-03-48;Заведующий: Назарова Людмила Владимировна;http://nsportal.ru/site/detskiy-sad-no227-ryabinka;56.272832;58.020633
МАДОУ "Детский сад № 23";г.Пермь, ул. Стахановская, 9;280-30-78;Заведующий: Новоселова Елена Леонидовна;http://www.detsad23.perm.ru;56.221745;57.984503
МАДОУ "Детский сад № 233 Школа Рыцарей и Принцесс";г.Пермь, ул. Подлесная, 21/2;221-19-69;Заведующий: Пупырева Вера Геннадьевна;;56.151739;57.994078
МАДОУ "Детский сад № 238";г.Пермь, ул. Газеты Звезда, 12;212-33-75;Заведующий: Носкова Елена Владимировна;http://www.detsad238.perm.ru;56.241292;58.014903
МАДОУ "Детский сад № 24";г.Пермь, ул. Барамзиной, 52;230-31-71;Заведующий: Гневашева Ольга Викторовна;;56.181213;58.001562
МАДОУ   "Детский сад № 244";г.Пермь, ул. Нефтяников, 56;226-42-96;Заведующий: Рожкова Ирина юрьевна;;56.161989;57.969503
МАДОУ "Детский сад № 247";г.Пермь, ул. Маршала Рыбалко, 100а;282-74-31;Заведующий: Ванькова Анна Владимировна;;55.967737;58.009377
МДОУ "Детский сад № 251";г.Пермь, ул. Красноармейская, 17а;216-72-72;Заведующий: Крутикова Галина Леонидовна;http://www.sad251.ru;56.262609;58.002768
МАДОУ "Детский сад № 261";г.Пермь, ул. Воронежская, 1;250-06-58;Заведующий: Дубоенко Татьяна Анатольевна;http://www.berezka261.jimdo.com;55.839431;58.025647
МАДОУ "Детский сад № 262";г.Пермь, ул. Солдатова, 14а;269-57-90;Заведующий: Бусыгина Наталья Станиславовна;;56.223901;57.962419
МАДОУ "Детский сад № 265";г.Пермь, ул. Героев Хасана, 97а;  ул.Серпуховская 19;268-67-62;Заведующий: Нахратова Елена Владимировна;http://www.ds265.permedu.ru;56.265008;57.970095
МДОУ "Детский сад № 27";г.Пермь, ул. 2-я линия, 21;233-49-58;Заведующий: и.о.Медведева Лариса Владимировна;;56.293412;58.049907
МДОУ "Детский сад № 271";г.Пермь, ул. Мира, 14а;221-64-84;Заведующий: Мушкова Наталья Васильевна;http://www.detsad271perm.ucoz.ru;56.201596;57.984546
