Адрес;Этажей в доме;Подъездов;Срок сдачи;Застройщик;Микрорайон;Фото;Долгота;Широта
50 лет октября, 22;10;6;4 кв 2015 г;СтройПанельКомплект;Гамово;http://an-rakurs.ru/img/homes/50-let-oktyabrya-22.jpg;56.09651159495117;57.871070582112665
Адмирала Макарова, 23;16;5;3 кв 2015 г;ВекторСтройСервис;Судозавод;http://an-rakurs.ru/img/homes/admirala-makarova-23.jpg;56.0263067856431;58.03176495031556
Батумская, 8;16;2;3 кв 2015 г;Трест 14;Нижняя Курья;http://an-rakurs.ru/img/homes/batumskaya-8.jpg;56.01962540298703;58.02984797516439
Бушмакина, 94 (1 очередь);16;2;сдан;Сфера;Кислотные дачи;http://an-rakurs.ru/img/homes/bushmakina-94.jpg;56.404382586479194;58.08287720795791
Вагонная, 27;10;2;2 кв 2015 г;Камская Долина;Железнодорожный;http://an-rakurs.ru/img/homes/vagonnaya-27.jpg;56.08664408326154;58.050833576589675
Веры Засулич, 42а;17;2;2 кв 2016 г;СтройРеспект;Новые Ераничи;http://an-rakurs.ru/img/homes/very-zasulich-42a.jpg;56.20341455563906;57.972043474381096
Веры Засулич, 50;16;1;4 кв 2015 г;Трест 14;Карпинский;http://an-rakurs.ru/img/homes/very-zasulich-50.jpg;56.20195509865876;57.97079634833826
Весенняя, 24;9;4;2 кв 2016 г;СтройПанельКомплект;Поселок Фролы;http://an-rakurs.ru/img/homes/vesennyaya-24.jpg;56.28053829073896;57.92047881432266
Весенняя, 26;9;4;2 кв 2016 г;СтройПанельКомплект;Поселок Фролы;http://an-rakurs.ru/img/homes/vesennyaya-26.jpg;56.28142341971399;57.92024189538579
Гайвинская, 42;3;3;2 кв 2015 г;АСТЕН;Гайва;http://an-rakurs.ru/img/homes/gayvinskaya-42.jpg;56.297439895570335;58.108954177479994
Гатчинская, 20;9;3;2 кв 2015 г;Камская Долина;Парковый;http://an-rakurs.ru/img/homes/gatchinskaya-20.jpg;56.179309040307984;57.99520825980669
