Тип школы;Школа;Адрес;Телефон;Директор;Сайт;Долгота;Широта
Вечерняя;МБОУ "Вечерняя (сменная) общеобразовательная школа № 16";г.Пермь, ул.Писарева, 35;284-93-06;Директор: Петрова Светлана Васильевна;http://school16.permedu.ru;56.303213;58.111706
Вечерняя;МБОУ "Вечерняя (сменная) общеобразовательная школа № 5";г.Пермь, ул.Куйбышева, 83;280-95-65;Директор: Соколова Ольга Юрьевна;http://vschool5.ru/;56.246224;57.994784
Статусная;МБОУ "Гимназия № 11 им.С.П.Дягилева";г.Пермь, ул. Сибирская, 33;212-62-61;Директор: Зобачева Раиса Дмитриевна;http://www.diaghilev.perm.ru;56.250491;58.008843
Статусная;МБОУ "Гимназия № 17";г.Пермь, ул.Ленина, 31;210-88-55;Директор: Падей Элеонора Николаевна;http://school17.prm.ru;56.242397;58.012567
Статусная;МАОУ "Гимназия № 2";г.Пермь, ул.Старцева, 1а;266-28-96;Директор: Суханова Людмила Андреевна;http://www.himnasy2.perm.ru;56.310983;58.010898
Статусная;МАОУ "Гимназия № 3";г.Пермь, ул.Звенигородская, 11;285-03-79, 285-03-80;Директор: Новикова Татьяна Владимировна;http://gimnaziya3perm.ucoz.ru/;56.309591;58.110998
Статусная;МАОУ "Гимназия № 31";г.Пермь, ул.Подлесная, 37;222-62-95;Директор: Серикова Людмила Владиславовна;http://www.gym31.perm.ru;56.159887;57.995891
Статусная;МАОУ "Гимназия № 33";г.Пермь, ул.Островского, 68;262-85-11;Директор: Мельчакова Нина Яковлевна;http://school33.perm.ru;56.270389;58.003393
Статусная;МБОУ "Гимназия № 4 им.братьев Каменских";г.Пермь, ул. Плеханова, 41;236-85-46;Директор: Дьякова Татьяна Михайловна;http://Kamensky.perm.ru/;56.206545;58.003221
Статусная;МАОУ "Гимназия № 5";г.Пермь, ул.Ким, 90;281-96-55;Директор: Москалева Елена Андреевна;http://gimnaz5.narod.ru;56.282417;58.017277
Статусная;МАОУ "Гимназия № 6";г.Пермь, ул.Федосеева,16;284-01-21, 284-02-03;Директор: Васильева Елена Анатольевна;http://gim6-perm.ru;55.943806;57.999568
Статусная;МАОУ "Гимназия № 7";г.Пермь, ул.Целинная, 29б;267-09-86;Директор: Поносов Дмитрий Павлович;http://gmn7.ru/;56.350527;58.056612
Статусная;МАОУ "Гимназия № 8";г. Пермь, ул. Закамская, 39;252-18-57;Директор: Выголова Зинаида Александровна;http://www.gymnasium8perm.ru;55.956787;58.004285
Статусная;Муниципальное автономное общеобразовательное учреждение "Гимназия № 1" г.Перми;г.Пермь, ул. Космонавта Леонова, 14;226-20-66;Директор: Казанцева Оксана Юрьевна;http://gimnaziya1-perm.ucoz.ru;56.165816;57.974319
Коррекционная;МБС(К)ОУ для обучающихся, воспитанников с ограниченными возможностями здоровья "Специальная (коррекционная) общеобразовательная школа для детей с ОВЗ №152";г.Пермь, ул.Бушмакина,18;284-60-52;Директор: Соколова Валентина Ростиславовна;http://www.school152kor.narod.ru;56.392964;58.086442
Статусная;МБОУ "Лицей № 1";г.Пермь, Дедюкина, 8а;213-53-68;Директор: Лурье Леонид Израилевич;http://lyceum1.perm.ru/;56.217199;58.050088
Статусная;МАОУ "Лицей № 10";г.Пермь, ул.Техническая, 22;281-97-80;Директор: Ивенских Ирина Валентиновна;http://www.hselyceum.perm.ru;56.291544;58.010851
Статусная;МАОУ "Лицей № 2";г.Пермь, ул.Самаркандская, 102;282-43-42;Директор: Белых Зинаида Дмитриевна;http://www.licey2.perm.ru;56.299647;57.987275
Статусная;МАОУ "Лицей № 3";г.Пермь, ул.Свиязева, 17;228-23-25;Директор: Штэфан Владимир Александрович;http://www.licey3.perm.ru;56.188992;57.963426
Статусная;МАОУ "Лицей № 4";г.Пермь, ул. Танкистов, 56;227-88-75;Директор: Иконникова Галина Федоровна;http://www.licey4.ucoz.ru/;56.207812;57.981149
Статусная;МАОУ "Лицей № 5";г.Пермь, ул.Черняховского, 51;275-39-35;Директор: Носков Николай Григорьевич;http://lyceum5.perm.ru/;56.407723;58.084348
Статусная;МАОУ "Лицей № 8";г.Пермь, ул.Леонова, 62а;229-55-45;Директор: Петрова Ирина Борисовна;http://lyceum8perm.ru/;56.175050;57.962977
Статусная;МАОУ "Лицей № 9";г.Пермь, ул.Макаренко, 25;266-69-89;Директор: Зверева Наталья Евгеньевна;http://cli.ucoz.ru;56.301344;58.009234
Статусная;МАОУ "Гимназия № 10";г.Пермь, ул.Подлесная,25;222-06-30;Директор: Груздева Ирина Викторовна;http://prm-gym10.edusite.ru;56.153626;57.994469
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 100";г.Пермь, пр.Декабристов, 35а;280-06-23;Директор: Усольцева Людмила Васильевна;http://s100-perm.narod.ru/;56.199206;57.974563
Статусная;МАОУ "Средняя общеобразовательная школа № 12 с углубленным изучением немецкого языка";г.Пермь, ул.Ю.Смирнова,10;244-05-24;Директор: Ракинцева Елена Михайловна;http://schule12.edusite.ru;56.250554;57.993181
Статусная;МАОУ "Средняя общеобразовательная школа № 132 с углубленным изучением предметов естественно-экологического профиля";г. Пермь, ул. Баумана, 16;228-09-60;Директор: Рябова Лариса Ивановна;http://school132.perm.ru/;56.190654;57.985567
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 133";г. Пермь ул. А. Гайдара, 13;282-35-17;Директор: Адамова Эльвира Вячеславовна;http://www.s133perm.narod.ru/;56.296988;57.998080
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 66";г.Пермь, ул.Читалина, 10;275-93-14;Директор: Зарницина Ольга Павловна;http://66school.ucoz.ru;56.306654;58.166226
Общеобразовательная;МАОУ "Средняя общеобразовательная школа № 94";г.Пермь, ул.Г.Хасана, 89;268-71-15;Директор: Носкова Ирина Николаевна;http://www.school94.ucoz.com;56.234195;58.010259
Статусная;МАОУ "Средняя общеобразовательная школа № 145 с углубленным изучением экономики, английского языка, математики, информатики - Экономическая школа";г.Пермь, ул. Карпинского, 87а;223-00-68;Директор: Шестакова Елена Ивановна;http://www.es145.perm.ru;56.213058;57.974687
Общеобразовательная;Муниципальное автономное общеобразовательное учреждение «Начальная школа  - детский сад № 5» г.Перми;г.Пермь, ул.Беляева,43/1;228-17-35;Директор: Губанова Роза Зыяновна;http://www.school-sad5.narod2.ru;56.168412;57.968324
Вечерняя;МБОУ "Открытая (сменная) общеобразовательная школа № 4" имени Бобкова Феликса Макаровича;г.Пермь, ул.Каспийская, 15;206-06-37;Директор: Мухина Маргарита Николаевна;http://ososh4.ucoz.ru/;56.316769;58.023050
Общеобразовательная;МБОУ "Средняя общеобразовательная школа № 134";г.Пермь, ул.Л.Шатрова, 25;268-84-49;Директор: Ростовщикова Ольга Анатольевна;http://www.школа134.рф;56.269921;57.988621
