Название;Расположение;Район;Долгота;Широта
Обзорная видеокамера 75;Крупской-Лебедева;Мотовилихинский район;56.27875626;58.01766599
Обзорная видеокамера 74;Пл. Дружбы;Мотовилихинский район;56.28130959;58.01431442
Обзорная видеокамера 73;Пл.Дружбы-Рынок;Мотовилихинский район;56.28111611;58.01434559
Обзорная видеокамера 72;Пл.Дружбы-Рынок;Мотовилихинский район;56.28100882;58.01437976
Обзорная видеокамера 71;Бульвар Гагарина-Ушинского;Мотовилихинский район;56.28735912;57.99775729
Обзорная видеокамера 70;Бульвар Гагарина-Южная Дамба;Мотовилихинский район;56.28770245;57.99461266
Обзорная видеокамера 7;Сквер Дзержинского;Дзержинский район;56.19777868;58.00363702
Обзорная видеокамера 69;Бульвар Гагарина-Макаренко;Мотовилихинский район;56.28400366;58.00704090
Обзорная видеокамера 68;Бульвар Гагарина-Старцева;Мотовилихинский район;56.29713996;57.99018492
Обзорная видеокамера 67;Компрос-Екатерининская;Ленинский район;56.24082906;58.00925651
Обзорная видеокамера 66;Компрос-Ленина;Ленинский район;56.23870475;58.01135209
Обзорная видеокамера 65;Ленина-Комсомольский проспект 1;Ленинский район;56.23889787;58.01136348
Обзорная видеокамера 64;Ленина-Островского;Ленинский район;56.25587088;58.01614643
Обзорная видеокамера 63;Ленина-25 Октября;Ленинский район;56.24921901;58.01430165
Обзорная видеокамера 62;Ленина-Сибирская;Ленинский район;56.24642951;58.01352727
Обзорная видеокамера 60;Компрос-Пушкина 2;Ленинский район;56.24352813;58.00639318
Обзорная видеокамера 61;Ленина-Администрация;Ленинский район;56.23253527;58.01015122
Обзорная видеокамера 6;Площадь Гайдара;Дзержинский район;56.19500512;58.00392173
Обзорная видеокамера 59;Компрос-Луначарского 2;Ленинский район;56.24219776;58.00786250
Обзорная видеокамера 58;Компрос-Луначарского;Ленинский район;56.24206901;58.00787389
Обзорная видеокамера 57;Компрос-Петропавловская;Ленинский район;56.23749502;58.01274385
Обзорная видеокамера 55;Компрос-Орджоникидзе2;Ленинский район;56.23460068186368;58.015630429322506
Обзорная видеокамера 56;Компрос-Советская;Ленинский район;56.23610027;58.01414458
Обзорная видеокамера 54;Компрос-Петропавловская;Ленинский район;56.23743064;58.01272107
Обзорная видеокамера 53;Компрос-Ленина;Ленинский район;56.23869665;58.01140000
Обзорная видеокамера 52;Ленина-Комсомольский проспект;Ленинский район;56.23876102;58.01132028
Обзорная видеокамера 50;Администрация края;Ленинский район;56.23243539;58.01080416
Обзорная видеокамера 51;Ленина-Куйбышева;Ленинский район;56.23425930;58.01030304
Обзорная видеокамера 5;Сад камней;Дзержинский район;56.19103545;58.00485579
Обзорная видеокамера 49;Филармония;Ленинский район;56.23294599;58.01136584
Обзорная видеокамера 48;Попова-Пушкина;Ленинский район;56.23045683;58.00372651
Обзорная видеокамера 47;Попова-Луначарского;Ленинский район;56.22957707;58.00518455
Обзорная видеокамера 46;Попова-Екатериненская;Ленинский район;56.22861147;58.00667670
Обзорная видеокамера 45;Эспланада(PTZ);Ленинский район;56.22355588;58.00931933
Обзорная видеокамера 43;Попова-Петропавловская;Ленинский район;56.22608788;58.01064047
Обзорная видеокамера 44;ЗакСобрание;Ленинский район;56.23241790;58.01078853
Обзорная видеокамера 42;Ленина-Эспланада(PTZ);Ленинский район;56.22340567;58.00849929
Обзорная видеокамера 41;Попова-Ленина;Ленинский район;56.22708434;58.00905843
Обзорная видеокамера 4;Пермь 2;Дзержинский район;56.18270988;58.00443401
Обзорная видеокамера 40;Попова-Ленина;Ленинский район;56.22697705;58.00905843
Обзорная видеокамера 39;Попова-Ленина;Ленинский район;56.22710580;58.00910399
Обзорная видеокамера 38;Попова-Ленина;Ленинский район;56.22710001;58.00910664
Обзорная видеокамера 36;Ленина-Борчанинова;Ленинский район;56.22006190;58.00786517
Обзорная видеокамера 37;Попова-Эспланада;Ленинский район;56.22660649;58.00983556
Обзорная видеокамера 35;Ленина-Др.Театр;Ленинский район;56.21656430;58.00731845
Обзорная видеокамера 33;Борчанинова;Ленинский район;56.22229350;58.00467587
