Адрес;Построен;Степень износа;Дата ремонта, гг;Долгота;Широта
Сестрорецкая, 10;1956 г.;;2015-2017;56.441634;58.149707
Красные Казармы, 9;1912 г.;47;2015-2017;56.269302;57.993243
Красные Казармы, 7;1913 г.;50;2015-2017;56.268951;57.994140
Красные Казармы, 8;1913 г.;50;2015-2017;56.269715;57.994364
Красные Казармы, 10;1913 г.;46;2015-2017;56.270793;57.993544
Сибирская, 7а;1917 г.;69;2015-2017;56.243089;58.016586
Ленина, 11;1917 г.;34;2015-2017;56.255117;58.016238
Петропавловская, 11;1917 г.;18;2015-2017;56.252665;58.017749
Уральская, 80;1928 г.;48;2015-2017;56.290421;58.026119
Уральская, 84;1928 г.;45;2015-2017;56.289729;58.025628
Ленина, 90;1928 г.;40;2015-2017;56.208764;58.005749
Ленина, 7а;1928 г.;18;2015-2017;56.256285;58.016801
Коминтерна, 12;1928 г.;;2015-2017;56.251362;57.987571
Чкалова, 38;1929 г.;58;2015-2017;56.251506;57.986197
Комсомольский, 89;1929 г.;40;2015-2017;56.252189;57.986321
Комсомольский, 87;1929 г.;;2015-2017;56.252162;57.987490
Индустриализации, 16;1930 г.;56;2015-2017;56.301353;58.026343
Парусная, 19;1931 г.;63;2015-2017;56.024053;58.030675
Лебедева, 8;1932 г.;60;2015-2017;56.299584;58.027301
Уральская, 77;1932 г.;60;2015-2017;56.297248;58.028192
Лебедева, 10;1932 г.;58;2015-2017;56.298820;58.027105
Лебедева, 16;1932 г.;55;2015-2017;56.296592;58.026343
Уральская, 79;1932 г.;51;2015-2017;56.297024;58.027773
Уральская, 83;1932 г.;14;2015-2017;56.295425;58.027229
Советская, 21;1933 г.;66;2015-2017;56.248245;58.017454
Адмирала Макарова, 24;1933 г.;65;2015-2017;56.028975;58.033891
Уральская, 75;1933 г.;60;2015-2017;56.298272;58.028654
Комсомольский, 96;1933 г.;47;2015-2017;56.254120;57.986502
Индустриализации, 14;1934 г.;58;2015-2017;56.300976;58.026567
Коминтерна, 6;1934 г.;47;2015-2017;56.254641;57.987585
Екатерининская, 59;1934 г.;47;2015-2017;56.246763;58.010803
Чкалова, 32;1934 г.;47;2015-2017;56.254713;57.986440
Линия 11-я, 12;1934 г.;40;2015-2017;56.284321;58.053960
Герцена, 5;1934 г.;34;2015-2017;56.172832;58.001991
Герцена, 7;1934 г.;26;2015-2017;56.173901;58.001981
Папанинцев, 14;1934 г.;25;2015-2017;56.177107;58.000560
Бр. Черепановых, 11;1934 г.;21;2015-2017;56.234195;58.010259
